𰻝	901
嬢	901
菈	901
卻	901
濛	901
诶	901
凃	901
咲	901
螓	901
珮	900
睆	901
挼	901
嗯	9180428
欸	1434
哟	59951
唷	901
育	900
啊	5366943
阿	868175
吖	160900
锕	1044
腌	901
爱	1517299
艾	212919
哎	167300
唉	139934
哀	126169
挨	84776
埃	84448
矮	82628
碍	80405
暧	22615
癌	16219
蔼	14933
隘	9488
皑	7324
霭	7023
嗳	4173
嫒	2729
毐	1913
欸	1434
叆	1276
瑷	1132
砹	953
锿	939
嗌	901
按	3827850
安	981003
暗	891981
案	362185
岸	130772
俺	65755
黯	43686
庵	13987
鞍	12479
谙	7074
氨	3012
胺	2074
鹌	2053
桉	1966
犴	1702
唵	1277
铵	1029
埯	952
盦	923
垵	905
𩽾	900
昂	81872
肮	15617
盎	9578
卬	1165
傲	191425
奥	181616
熬	46732
敖	28008
澳	24161
凹	21544
懊	21450
嗷	17932
拗	10493
袄	9996
鳌	7189
翱	6845
獒	6656
骜	6485
坳	4340
鏖	3490
遨	3335
媪	1821
螯	1433
岙	1428
璈	1338
鏊	1293
聱	1000
廒	931
奡	919
隩	906
薁	905
嶅	900
把	3799188
吧	2404065
八	740931
爸	542385
巴	524494
罢	243262
拔	178403
霸	134004
疤	32237
跋	27459
扒	26234
叭	24466
芭	15309
靶	12361
坝	11136
耙	4877
笆	4284
魃	3105
粑	2604
钯	1772
灞	1768
捌	1315
鲅	1290
岜	1173
鲃	940
菝	915
蚆	908
胈	905
羓	903
朳	901
妭	900
白	2323111
百	963351
败	364955
摆	350156
拜	243893
柏	56986
掰	11832
伯	2634
佰	2500
稗	1865
捭	1517
半	1095998
办	956975
般	941849
板	467656
班	460672
伴	190444
版	139040
搬	107466
扮	103839
斑	54874
扳	23536
瓣	22956
绊	17842
颁	16065
拌	13827
阪	4595
坂	3772
瘢	1290
钣	1027
癍	995
攽	921
柈	920
昄	906
湴	902
靽	902
𨭉	900
帮	902533
膀	164612
邦	115742
棒	78184
绑	58912
榜	42885
傍	35750
磅	11505
梆	6342
镑	5647
谤	5478
蚌	4836
浜	1979
蒡	970
玤	903
搒	901
塝	900
𠳐	900
保	860652
报	856917
包	668483
宝	565620
抱	520892
暴	286945
爆	200857
薄	144189
堡	101894
饱	82939
豹	59029
胞	47806
剥	43175
鲍	24015
褒	10030
刨	9591
苞	8727
鸨	8073
曝	7357
煲	4517
葆	4419
雹	3884
褓	3008
炮	1900
龅	1689
孢	1355
趵	1241
枹	1013
瀑	901
被	2998964
备	824455
北	718933
背	643370
呗	318717
杯	302590
辈	282834
悲	239419
贝	212641
倍	125104
卑	83825
惫	41177
碑	35160
狈	34849
蓓	13518
悖	6566
